Username,Bad Guy,Billie Jean,Blinding Lights,Bohemian Rhapsody,Circles,Closer,Dancing Queen,HUMBLE.,Heat Waves,Hey Jude,Imagine,Industry Baby,Levitating,Lovely,Lucid Dreams,MONTERO,Midnight City,Old Town Road,Peaches,Rolling in the Deep,SICKO MODE,Shape of You,Somebody Else,Stay,Sunflower,Take on Me,Uptown Funk,Watermelon Sugar,drivers license,good 4 u
beatbuster,1,1,3,1,5,5,1,4,3,4,4,3,3,3,4,5,4,0,5,0,3,5,4,2,2,5,5,5,2,5
beatslover21,5,2,2,5,1,4,2,1,4,3,5,0,2,4,3,4,0,4,3,2,5,3,4,4,0,3,3,3,5,4
groovemaster,3,1,2,5,2,2,5,2,5,1,2,3,0,5,3,2,2,4,2,4,3,1,1,5,5,1,3,4,0,3
melodymaker,5,5,5,4,5,1,5,3,1,3,0,5,2,5,4,1,3,2,5,5,1,3,5,1,2,2,5,4,0,1
musicfan92,2,2,0,0,1,2,1,1,1,4,0,2,2,5,3,1,2,3,3,2,3,3,4,5,3,1,3,3,1,2
rhythmaddict,0,5,2,2,4,5,2,4,3,4,5,0,5,2,0,2,0,1,5,2,5,4,2,2,0,2,4,3,2,5
rhythmlove88,2,5,3,3,5,2,1,5,5,5,4,3,2,5,5,5,5,2,3,3,3,5,2,3,4,0,1,2,4,5
soundexplorer,5,5,2,3,0,2,3,0,1,3,3,2,5,0,3,3,5,2,1,4,3,4,2,5,1,3,2,1,5,5
tunes_lover1,1,4,3,3,5,1,0,1,2,4,5,4,3,3,5,2,3,5,2,2,2,1,2,1,5,4,2,3,5,2
vibesonly22,5,2,2,2,3,2,4,3,5,5,3,0,3,2,5,3,3,2,5,0,2,4,2,3,5,1,3,3,1,2
